0.024,0.416,0.212,0.095,0.017,0.164
0.034,0.420,0.177,0.093,0.023,0.179
0.046,0.416,0.146,0.094,0.030,0.195
0.059,0.405,0.118,0.096,0.038,0.212
0.073,0.386,0.093,0.100,0.046,0.230
0.087,0.360,0.072,0.105,0.054,0.249
0.101,0.329,0.054,0.111,0.062,0.270
0.113,0.295,0.040,0.119,0.069,0.291
0.123,0.258,0.028,0.128,0.075,0.315
0.130,0.220,0.019,0.137,0.079,0.340
0.135,0.183,0.012,0.146,0.082,0.367
0.136,0.148,0.008,0.155,0.082,0.397
0.133,0.116,0.004,0.163,0.081,0.428
0.127,0.087,0.002,0.169,0.078,0.461
0.119,0.063,0.001,0.173,0.074,0.496
0.107,0.043,0.001,0.174,0.068,0.532
0.095,0.027,0.000,0.172,0.061,0.570
0.081,0.016,0.000,0.166,0.053,0.608
0.067,0.008,0.000,0.157,0.045,0.647
0.053,0.003,0.001,0.144,0.037,0.686
0.041,0.001,0.001,0.128,0.030,0.724
0.030,0.001,0.001,0.110,0.023,0.760
0.020,0.001,0.000,0.090,0.018,0.794
0.013,0.003,0.000,0.069,0.013,0.825
0.008,0.005,0.000,0.049,0.009,0.852
0.004,0.006,0.000,0.031,0.006,0.875
0.002,0.008,0.000,0.016,0.004,0.893
0.001,0.009,0.000,0.005,0.003,0.905
0.000,0.010,0.000,0.000,0.002,0.911
0.000,0.010,0.000,0.000,0.001,0.911
0.000,0.011,0.000,0.007,0.001,0.905
0.000,0.011,0.000,0.019,0.001,0.892
0.000,0.011,0.001,0.038,0.001,0.873
0.000,0.011,0.001,0.061,0.001,0.848
0.001,0.012,0.002,0.089,0.002,0.818
0.003,0.013,0.002,0.119,0.003,0.783
0.005,0.014,0.003,0.151,0.005,0.744
0.010,0.016,0.004,0.183,0.008,0.702
0.016,0.020,0.005,0.213,0.012,0.657
0.024,0.024,0.007,0.241,0.017,0.611
0.033,0.030,0.008,0.264,0.023,0.564
0.045,0.037,0.011,0.282,0.030,0.518
0.058,0.047,0.013,0.295,0.038,0.472
0.071,0.060,0.017,0.301,0.046,0.427
0.085,0.075,0.021,0.302,0.054,0.385
0.099,0.093,0.026,0.297,0.062,0.345
0.111,0.114,0.033,0.288,0.069,0.307
0.121,0.138,0.041,0.274,0.075,0.273
0.128,0.165,0.052,0.257,0.079,0.241
0.133,0.193,0.064,0.237,0.082,0.212
0.134,0.223,0.079,0.217,0.082,0.186
0.131,0.253,0.096,0.195,0.081,0.163
0.126,0.282,0.117,0.174,0.078,0.143
0.117,0.309,0.141,0.154,0.074,0.125
0.106,0.333,0.168,0.136,0.068,0.109
0.093,0.352,0.198,0.119,0.061,0.095
0.080,0.366,0.232,0.105,0.053,0.083
0.066,0.373,0.269,0.092,0.046,0.072
0.053,0.374,0.310,0.082,0.038,0.063
0.040,0.367,0.352,0.073,0.031,0.055
0.029,0.353,0.397,0.067,0.024,0.048
0.020,0.333,0.443,0.062,0.018,0.041
0.013,0.306,0.491,0.058,0.014,0.035
0.008,0.275,0.538,0.056,0.010,0.030
0.004,0.241,0.584,0.055,0.007,0.025
0.002,0.205,0.629,0.055,0.005,0.021
0.001,0.168,0.672,0.056,0.003,0.017
0.000,0.132,0.711,0.057,0.002,0.013
0.000,0.099,0.747,0.059,0.002,0.010
0.000,0.070,0.778,0.060,0.001,0.008
0.000,0.045,0.804,0.061,0.001,0.005
0.000,0.026,0.824,0.062,0.001,0.003
0.000,0.012,0.839,0.061,0.001,0.002
0.001,0.004,0.849,0.060,0.002,0.001
0.003,0.000,0.853,0.057,0.004,0.000
0.005,0.002,0.851,0.052,0.006,0.000
0.009,0.007,0.845,0.046,0.009,0.001
0.015,0.015,0.834,0.039,0.013,0.001
0.023,0.025,0.818,0.030,0.018,0.002
0.033,0.035,0.800,0.022,0.024,0.003
0.044,0.046,0.778,0.014,0.030,0.004
0.057,0.056,0.754,0.006,0.038,0.005
0.070,0.065,0.729,0.001,0.046,0.005
0.084,0.072,0.702,0.001,0.054,0.005
0.097,0.078,0.674,0.001,0.062,0.005
0.109,0.081,0.646,0.007,0.069,0.004
0.119,0.083,0.619,0.018,0.074,0.003
0.126,0.083,0.591,0.034,0.079,0.002
0.130,0.082,0.565,0.056,0.082,0.001
0.132,0.080,0.539,0.082,0.082,0.000
0.129,0.077,0.514,0.113,0.081,0.001
0.124,0.075,0.491,0.148,0.079,0.000
0.115,0.072,0.468,0.184,0.074,0.001
0.105,0.070,0.446,0.221,0.068,0.004
0.092,0.069,0.425,0.258,0.061,0.009
0.079,0.068,0.404,0.292,0.054,0.017
0.065,0.069,0.384,0.322,0.046,0.027
0.052,0.071,0.365,0.347,0.039,0.040
0.040,0.074,0.345,0.367,0.031,0.056
0.029,0.079,0.326,0.379,0.025,0.075
0.020,0.086,0.306,0.384,0.019,0.097
0.013,0.095,0.286,0.382,0.014,0.122
0.008,0.105,0.266,0.373,0.010,0.150
0.004,0.117,0.245,0.358,0.007,0.180
0.002,0.131,0.225,0.337,0.005,0.212
0.001,0.147,0.204,0.311,0.004,0.245
0.000,0.164,0.183,0.282,0.003,0.279
0.000,0.182,0.162,0.252,0.002,0.314
0.000,0.201,0.141,0.220,0.001,0.348
0.000,0.219,0.121,0.189,0.001,0.381
0.000,0.235,0.102,0.160,0.001,0.413
0.000,0.249,0.083,0.132,0.002,0.444
0.001,0.261,0.067,0.107,0.002,0.472
0.002,0.268,0.052,0.086,0.004,0.498
0.005,0.271,0.038,0.067,0.006,0.522
0.009,0.269,0.027,0.052,0.009,0.544
0.015,0.261,0.018,0.039,0.013,0.563
0.022,0.249,0.011,0.030,0.018,0.580
0.032,0.231,0.006,0.022,0.024,0.595
0.043,0.209,0.003,0.016,0.031,0.608
0.055,0.183,0.001,0.012,0.038,0.619
0.069,0.155,0.001,0.009,0.046,0.629
0.082,0.126,0.002,0.007,0.054,0.638
0.095,0.097,0.004,0.006,0.062,0.646
0.107,0.070,0.006,0.005,0.069,0.653
0.117,0.046,0.008,0.004,0.074,0.659
0.124,0.026,0.010,0.004,0.079,0.666
0.128,0.011,0.012,0.004,0.082,0.672
0.129,0.003,0.012,0.003,0.083,0.678
0.127,0.000,0.013,0.003,0.082,0.684
0.122,0.003,0.012,0.003,0.079,0.689
0.114,0.012,0.011,0.002,0.074,0.694
0.103,0.025,0.009,0.002,0.069,0.699
0.091,0.043,0.007,0.001,0.062,0.703
0.078,0.064,0.005,0.000,0.055,0.706
0.065,0.086,0.002,0.000,0.047,0.708
0.052,0.108,0.001,0.000,0.039,0.708
0.040,0.129,0.001,0.000,0.032,0.707
0.029,0.149,0.001,0.002,0.025,0.702
0.020,0.166,0.000,0.006,0.020,0.695
0.013,0.179,0.002,0.012,0.015,0.685
0.008,0.189,0.006,0.021,0.011,0.672
0.004,0.194,0.011,0.034,0.008,0.656
0.002,0.196,0.017,0.050,0.006,0.636
0.001,0.194,0.026,0.070,0.004,0.612
